frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
179,0.005,319.871,320.0,0.0,0.06,20.977
180,-0.034,322.811,320.0,0.0,0.06,21.004
181,-0.041,323.178,320.0,0.0,0.06,21.076
182,-0.048,323.808,320.0,0.0,0.06,21.089
183,-0.058,324.559,320.0,0.0,0.06,21.132
184,-0.068,325.341,320.0,0.0,0.06,21.193
185,-0.126,329.728,320.0,0.03,0.059,21.22
186,-0.136,330.301,320.0,0.014,0.06,21.43
187,-0.123,328.739,320.0,-0.017,0.06,21.601
188,-0.106,327.451,320.0,-0.006,0.06,21.553
189,-0.101,327.499,320.0,0.0,0.06,21.53
190,-0.075,325.424,320.0,-0.02,0.06,21.584
191,-0.084,326.443,320.0,0.0,0.06,21.474
192,-0.104,328.13,320.0,0.02,0.06,21.492
193,-0.121,329.235,320.0,0.031,0.059,21.659
194,-0.118,328.191,320.0,-0.006,0.06,21.926
195,-0.139,329.755,320.0,0.005,0.06,21.98
196,-0.136,329.832,320.0,-0.004,0.06,22.022
197,-0.124,328.891,320.0,-0.013,0.06,22.038
198,-0.116,328.524,320.0,0.0,0.06,21.976
199,-0.118,328.94,320.0,0.0,0.06,21.988
200,-0.116,329.425,320.0,-0.008,0.06,22.037
201,-0.142,331.465,320.0,0.031,0.059,22.016
202,-0.143,331.291,320.0,0.002,0.06,22.237
203,-0.134,330.173,320.0,-0.015,0.06,22.391
204,-0.127,329.725,320.0,-0.009,0.06,22.274
205,-0.138,330.381,320.0,0.017,0.06,22.227
206,-0.161,332.22,320.0,0.04,0.059,22.354
207,-0.152,330.865,320.0,-0.016,0.06,22.745
208,-0.125,328.31,320.0,-0.036,0.059,22.741
209,-0.115,328.213,320.0,0.0,0.06,22.447
210,-0.134,330.998,320.0,0.015,0.06,22.397
211,-0.177,334.136,320.0,0.076,0.059,22.623
212,-0.168,332.522,320.0,-0.021,0.06,23.065
213,-0.123,328.087,320.0,-0.056,0.059,23.126
214,-0.096,326.955,320.0,0.0,0.06,22.718
215,-0.072,326.184,320.0,-0.047,0.059,22.669
216,-0.089,326.868,320.0,0.0,0.06,22.828
217,-0.1,328.028,320.0,0.004,0.06,22.724
218,-0.111,328.766,320.0,0.014,0.06,23.248
219,-0.072,324.263,320.0,-0.018,0.06,23.541
220,0.048,314.683,320.0,0.0,0.06,23.433
221,0.078,313.449,320.0,0.0,0.06,23.372
222,0.095,312.557,320.0,-0.02,0.06,23.42
223,0.104,312.314,320.0,-0.015,0.06,23.324
224,0.1,313.018,320.0,0.006,0.06,23.238
225,0.09,315.44,320.0,0.019,0.06,23.296
226,0.061,316.94,320.0,0.01,0.06,23.518
227,0.076,315.343,320.0,0.0,0.06,23.657
228,0.095,313.937,320.0,-0.016,0.06,23.699
229,0.107,313.393,320.0,-0.02,0.06,23.649
230,0.132,311.669,320.0,-0.004,0.06,23.5
231,0.102,314.075,320.0,0.028,0.059,23.455
232,0.087,315.075,320.0,-0.0,0.06,24.014
233,0.087,314.475,320.0,-0.0,0.06,24.232
234,0.093,313.92,320.0,-0.0,0.06,24.257
235,0.059,316.402,320.0,0.01,0.06,24.187
236,0.052,316.779,320.0,0.0,0.06,24.618
237,0.059,316.22,320.0,0.0,0.06,24.354
238,0.065,315.791,320.0,0.0,0.06,24.611
239,0.069,315.629,320.0,0.0,0.06,24.309
240,0.092,313.901,320.0,0.0,0.06,24.444
241,0.091,313.922,320.0,0.0,0.06,24.358
242,0.091,313.932,320.0,0.0,0.06,24.238
243,0.09,314.059,320.0,0.0,0.06,24.374
244,0.09,314.061,320.0,0.0,0.06,24.678
245,0.1,313.019,320.0,-0.007,0.06,24.763
246,0.108,312.63,320.0,-0.002,0.06,24.835
247,0.097,313.58,320.0,0.001,0.06,24.576
248,0.086,314.244,320.0,-0.0,0.06,25.014
249,0.075,315.015,320.0,-0.0,0.06,24.779
250,0.012,319.802,320.0,0.007,0.06,25.054
251,-0.002,320.629,320.0,0.0,0.06,24.877
252,-0.006,320.829,320.0,0.0,0.06,24.924
253,-0.007,320.754,320.0,0.0,0.06,25.212
254,-0.009,321.006,320.0,0.0,0.06,24.849
255,-0.027,321.924,320.0,0.0,0.06,25.07
256,-0.029,322.007,320.0,0.0,0.06,25.252
257,-0.025,321.598,320.0,0.0,0.06,25.551
258,-0.028,322.082,320.0,0.0,0.06,25.303
259,-0.035,322.693,320.0,0.0,0.06,25.645
260,-0.055,324.048,320.0,0.0,0.06,25.697
261,-0.06,324.284,320.0,0.0,0.06,25.958
262,-0.064,324.658,320.0,0.0,0.06,26.183
263,-0.069,324.973,320.0,0.0,0.06,26.229
264,-0.073,325.273,320.0,0.0,0.06,26.079
265,-0.102,327.451,320.0,0.003,0.06,26.339
266,-0.111,328.12,320.0,0.008,0.06,26.354
267,-0.11,327.835,320.0,-0.001,0.06,26.705
268,-0.106,327.487,320.0,-0.004,0.06,26.912
269,-0.107,327.668,320.0,0.0,0.06,26.775
270,-0.108,327.452,320.0,0.002,0.06,26.915
271,-0.104,327.067,320.0,-0.004,0.06,27.248
272,-0.109,327.596,320.0,0.006,0.06,27.064
273,-0.116,328.103,320.0,0.009,0.06,27.318
274,-0.118,328.049,320.0,0.003,0.06,27.437
275,-0.119,327.993,320.0,-0.001,0.06,27.645
276,-0.109,327.337,320.0,-0.011,0.06,27.742
277,-0.105,327.135,320.0,-0.001,0.06,27.803
278,-0.111,327.865,320.0,0.003,0.06,27.718
279,-0.117,328.326,320.0,0.008,0.06,27.968
280,-0.123,328.571,320.0,0.007,0.06,28.201
281,-0.114,327.622,320.0,-0.01,0.06,28.333
282,-0.106,327.156,320.0,-0.003,0.06,28.23
283,-0.105,327.226,320.0,0.0,0.06,28.455
284,-0.108,327.594,320.0,0.0,0.06,28.637
285,-0.115,328.71,320.0,0.004,0.06,28.703
286,-0.126,329.437,320.0,0.013,0.06,28.667
287,-0.117,328.409,320.0,-0.011,0.06,28.87
288,-0.103,327.28,320.0,-0.004,0.06,28.707
289,-0.097,327.064,320.0,0.0,0.06,28.94
290,-0.066,324.596,320.0,-0.014,0.06,29.107
291,-0.07,325.179,320.0,0.0,0.06,28.818
292,-0.083,326.423,320.0,0.001,0.06,28.807
293,-0.096,327.344,320.0,0.016,0.06,28.926
294,-0.103,327.514,320.0,0.01,0.06,29.14
295,-0.111,327.149,320.0,-0.013,0.06,29.328
296,-0.086,325.377,320.0,-0.013,0.06,29.319
297,-0.086,325.736,320.0,0.0,0.06,29.293
298,-0.092,326.381,320.0,0.0,0.06,28.984
299,-0.099,327.017,320.0,0.0,0.06,29.096
300,-0.105,327.621,320.0,0.005,0.06,29.179
301,-0.111,328.182,320.0,0.007,0.06,29.109
